"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"SERGEANT-D/A SPECIAL ASSIGNMENT",NA,NA,NA,NA,NA,NA,NA,NA,"$33,089.95","$8,140,127","$32,737.24","$8,217,047","$35,790.50","$8,983,416"
"SERGEANT-D/A SUPERVISOR DETECTIVE SQUAD",NA,NA,NA,NA,NA,NA,NA,NA,"$37,704.70","$13,008,120","$37,823.97","$11,838,904","$42,780.36","$13,818,057"
"SERGEANT AT ARMS",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SERGEANT D/A SPECIAL ASSIGNMENT",NA,NA,NA,NA,"$31,539.35","$7,695,602","$33,554","$8,455,617",NA,NA,NA,NA,NA,NA
"SERGEANT D/A SUPERVISOR DETECTIVE SQUAD","$32,145.49","$10,511,576",NA,NA,"$37,743.22","$13,323,355",NA,NA,NA,NA,NA,NA,NA,NA
"SERGEANTD/A SPECIAL ASSIGNMENT","$26,439.45","$5,367,207","$31,434.96","$6,507,037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SERGEANTD/A SUPERVISOR DETECTIVE SQUAD",NA,NA,"$36,252.58","$11,782,088",NA,NA,"$39,795","$13,848,660",NA,NA,NA,NA,NA,NA
"SERVICE INSPECTOR","$991.56","$7,932","$931.58","$7,453","$735.60","$7,356","$656","$5,900","$959.29","$9,593","$198.25","$1,586","$501.18","$4,511"
"SIGN LANGUAGE INTERPRETER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"SOCIAL WORKER","$931.92","$80,145","$1,047.00","$82,713","$945.97","$103,111","$817","$100,485","$713.01","$88,414","$1,279.81","$139,499","$653.22","$69,242"
"SPACE ANALYST","$3,484.97","$125,459","$4,658.28","$186,331","$6,938.03","$249,769","$6,351","$247,694","$5,539.01","$171,709","$6,062.15","$212,175","$2,487.94","$102,005"
"SPEAKER/MAJORITY LEADER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPEC CONSULTANT","$246.85","$4,197","$211.74","$3,600","$0.19","$3","$1","$9","-$0.98","-$9","$96.51","$7,238","$735.67","$55,175"
"SPECIAL ADVISOR TO CITY CLERK","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPECIAL ADVISOR TO THE DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ADVISOR TO THE MAYOR FOR HEALTH SERVICES",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT","$125.92","$11,836","$86.32","$11,739","$63.61","$11,513","$18","$3,853","$23.34","$4,972","$5.85","$1,387","$19.48","$4,130"
"SPECIAL ASSISTANT DISTRICT ATTORNEY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO COMMISSIONER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"SPECIAL ASSISTANT TO DA","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO MEMBER OF THE BOARD OF EDUCATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO THE BOROUGH PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO THE CHANCELLOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO THE COMMISSIONER","$0.00","$0","$0.00","$0",NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO THE DEPUTY EXECUTIVE DIRECTOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"Special Assistant to the Director",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$3,857.81","$3,858"
"SPECIAL ASSISTANT TO THE DISTRICT ATTORNEY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO THE EXECUTIVE DIRECTOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO THE FIRE COMMISSIONER",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO THE FIRST DEPUTY COMMISSIONER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"SPECIAL ASSISTANT TO THE HUMAN RESOURCES ADMINISTRATOR","$0.00","$0",NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL ASSISTANT TO THE MAYOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"SPECIAL ASST FOR INVESTIGATIONS/INSPECTOR GEN","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPECIAL COMMISSIONER OF INVESTIGATION-NYC SCHOOL DIST. DOI","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,"$0.00","$0","$0.00","$0"
"SPECIAL CONSULTANT","$0.00","$0","$45.15","$903","$174.26","$9,236","$45","$5,780","$35.61","$4,630","$0.93","$77","$141.20","$10,307"
"SPECIAL DEPUTY COMPTROLLER",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPECIAL INVESTIGATOR","$3,965.28","$107,063","$2,547.54","$152,852","$3,746.85","$310,988","$6,446","$657,481","$6,385.93","$638,593","$4,962.98","$555,854","$4,161.44","$387,014"
"SPECIAL OFFICER","$4,894.28","$2,158,379","$3,961.00","$1,921,083","$3,632.53","$2,412,002","$4,977","$3,867,383","$7,483.58","$6,084,151","$8,960.08","$6,316,859","$11,565.49","$7,355,650"
"SPVSG FAD-ASST COMMISS DETAIL",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SPVSG FAD-DEP DIR DSPTCH DTAIL","$0.00","$0","$3,607.86","$7,216","$8,958.30","$17,917","$13","$13","$7,874.35","$15,749","$0.00","$0","$0.00","$0"
"SPVSG FAD-DIR DSPTCH OP DETAIL","$1,195.15","$1,195",NA,NA,NA,NA,"$2,000","$2,000","$0.00","$0","$0.00","$0","$0.00","$0"
"SR ASSOCIATE HEALTH PROGRAM DIRECTOR","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SR HEALTHCARE PROG PLAN ANLYST","$163.22","$10,609","$40.69","$2,441","$16.04","$946","$3","$184","$14.45","$737","$13.61","$708","$9.97","$548"
"SR MANAGEMENT CONSULTANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$132.76","$1,328",NA,NA
"SR PROJECT PLANNER","$2,379.67","$4,759","$119.31","$239","$0.00","$0","$132","$265","$0.00","$0","$0.00","$0","$0.00","$0"
"STAFF ANALYST","$1,186.82","$556,619","$1,421.51","$599,879","$1,936.40","$807,478","$1,602","$660,053","$1,449.80","$649,511","$1,444.61","$661,631","$1,147.22","$602,290"
"STAFF ANALYST TRAINEE","$686.04","$91,929","$788.52","$65,447","$560.04","$36,402","$403","$38,681","$332.32","$24,924","$333.95","$13,024","$236.91","$8,766"
"STAFF ASSISTANT","$3,742.16","$22,453","$3,716.83","$22,301","$3,085.18","$21,596","$738","$7,379","$848.08","$10,177","$1,182.64","$14,192","$574.79","$5,748"
"STAFF AUDIOLOGIST",NA,NA,"$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$20.32","$61","$112.79","$451"
"STAFF NURSE","$2,147.19","$1,056,416","$3,042.43","$1,572,937","$4,263.43","$2,229,772","$5,929","$3,100,860","$6,118.76","$3,634,546","$7,160.27","$4,102,837","$6,009.16","$3,359,122"
"STATISTICAL SECRETARY","$344.36","$6,199","$812.15","$12,994","$537.27","$8,059","$282","$3,668","$239.83","$2,878","$348.82","$4,186","$448.94","$5,387"
"STATISTICIAN","$216.43","$1,299","$1,478.44","$8,871","$2,091.25","$12,548","$18","$158","$127.77","$639","$813.80","$4,883","$0.00","$0"
"STEAM FITTER'S HELPER",NA,NA,"$22,821.21","$22,821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STENOGRAPHER TO EACH DEPUTY COMMISSIONER","$8,353.46","$41,767","$8,476.05","$42,380","$6,365.91","$19,098","$10,416","$52,079","$8,653.73","$51,922","$11,610.67","$58,053","$13,915.40","$55,662"
"STENOGRAPHER TO THE CORPORATION COUNSEL","$0.00","$0","$3.25","$3","$0.00","$0","$96","$96","$0.00","$0","$115.19","$115","$0.00","$0"
"STENOGRAPHIC SPECIALIST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"STENOGRAPHIC/SECRETARIAL ASSOCIATE","$4,048.13","$4,048","$5,444.62","$5,445","$3,016.96","$3,017","$7,816","$7,816","$4,341.41","$4,341","$5,117.23","$5,117","$6,761.15","$6,761"
"STOCK WORKER","$3,060.62","$318,305","$2,617.73","$301,039","$2,376.88","$285,225","$2,765","$326,281","$2,770.25","$326,890","$3,232.68","$384,689","$3,620.78","$405,527"
"STRATEGI INITIATIVE SPECIALIST",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"STRATEGIC INITIATIVE SPECIALIST","$1,194.54","$2,389","$997.09","$10,968","$1,910.10","$36,292","$1,854","$61,192","$1,367.81","$56,080","$1,131.47","$61,099","$522.83","$25,096"
"STUDENT LEGAL SPECIALIST","$414.32","$1,243","$0.00","$0",NA,NA,"$0","$0","$0.00","$0","$0.00","$0",NA,NA
"SUBSTANCE ABUSE PREVENTION & INTERVENTION SPECIALIST","$182.46","$41,417","$153.12","$33,380","$142.05","$36,791","$134","$33,838","$92.49","$22,197","$117.08","$27,864","$107.05","$24,301"
"SUBSTITUTE PRINCIPAL",NA,NA,"$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUBSTITUTE TEACHER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SUMMER COLLEGE INTERN",NA,NA,NA,NA,NA,NA,"$0","$0",NA,NA,NA,NA,NA,NA
"SUMMER GRADUATE INTERN","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUPERINTENDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SUPERINTENDENT OF ADULT INSTITUTIONS","$16,337.37","$196,048","$14,025.97","$140,260","$11,300.87","$101,708","$10,778","$75,449","$9,152.54","$64,068","$4,159.35","$33,275","$4,618.51","$27,711"
"SUPERINTENDENT OF LAUNDRIES","$12,890.42","$12,890","$10,334.43","$10,334","$13,896.37","$13,896","$8,269","$8,269","$9,243.49","$9,243","$5,913.36","$5,913","$6,638.67","$6,639"
"SUPERINTENDENT OF WATER AND SEWER SYSTEMS","$0.00","$0","$153.75","$2,921","$182.87","$3,292","$4","$63","$320.23","$5,764","$3,467.89","$69,358","$3,625.41","$76,134"
"SUPERVISING ACCOUNTANT INVESTIGATOR","$0.00","$0","$2,352.86","$25,881","$582.41","$7,571","$65","$850","$0.00","$0","$0.00","$0","$0.00","$0"
"SUPERVISING BLASTING INSPECTOR","$41,046.98","$246,282","$51,488.93","$308,934","$38,962.63","$311,701","$36,087","$288,692","$36,985.91","$258,901","$35,988.00","$323,892","$41,223.77","$288,566"
"SUPERVISING BOOKBINDER",NA,NA,NA,NA,"$0.00","$0","$0","$0","$375.30","$375","$0.00","$0","$1,268.32","$1,268"
"SUPERVISING CHIEF SURGEON","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SUPERVISING COMPUTER SERVICE TECHNICIAN","$3,483.02","$250,778","$4,386.99","$258,832","$2,434.24","$138,752","$2,130","$104,356","$2,160.64","$112,353","$2,041.38","$85,738","$1,987.03","$81,468"
"SUPERVISING DEMOLITION INSPECTOR","$3,145.37","$6,291","$7,276.38","$14,553","$7,680.05","$15,360","$3,434","$10,301","$3,058.75","$9,176","$6,488.34","$19,465","$4,650.51","$13,952"
"SUPERVISING DEPUTY SHERIFF - AL 1 ONLY 40 HR","$11,740.69","$140,888","$15,291.07","$183,493","$20,000.34","$220,004","$23,791","$261,702","$27,760.85","$333,130","$36,016.36","$396,180","$63,430.02","$697,730"
"SUPERVISING DOCKMASTER","$2,593.37","$10,373","$574.23","$2,297","$1,502.73","$7,514","$1,305","$6,525","$741.16","$4,447","$1,005.78","$6,035","$767.59","$5,373"
"SUPERVISING EMERGENCY MEDICAL SERVICE SPECIALIST","$16,256.29","$6,973,947","$18,210.04","$8,467,670","$20,811.51","$9,385,990","$22,824","$10,681,426","$22,242.42","$10,854,303","$26,854.88","$13,293,164","$26,093.00","$12,811,665"
"SUPERVISING EMERGENCY MEDICAL SERVICE SPECIALIST-DPTY CHIEFS","$2,085.81","$70,918","$1,878.15","$58,222","$3,810.91","$133,382","$86","$2,828","$2,630.81","$99,971","$2,770.61","$116,366","$3,745.93","$153,583"
"SUPERVISING FIRE ALARM DISPATCHER","$19,358.02","$542,024","$20,842.38","$729,483","$17,806.79","$587,624","$22,212","$733,006","$23,267.91","$814,377","$22,001.98","$814,073","$23,797.14","$880,494"
"SUPERVISING FIRE MARSHAL","$39,937.84","$998,446","$57,856.27","$1,677,832","$44,141.00","$1,235,948","$43,713","$1,355,110","$36,036.51","$1,117,132","$37,603.41","$1,240,913","$29,764.03","$982,213"
"SUPERVISING HOUSEKEEPER","$133.71","$134","$6.34","$6","$0.00","$0","$749","$1,498","$6,106.48","$12,213","$6,326.24","$12,652","$12,334.06","$24,668"
"SUPERVISING HOUSING GROUNDSKEEPER","$17,913.13","$1,862,965","$13,202.62","$1,491,896","$14,637.22","$1,507,633","$16,099","$1,770,943","$15,984.28","$1,854,177","$14,589.29","$1,677,768","$19,766.45","$2,451,040"
"SUPERVISING HUMAN RIGHTS SPECIALIST","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"SUPERVISING POLICE COMMUNICATIONS TECHNICIAN","$13,095.49","$1,532,173","$12,171.91","$1,448,458","$10,676.37","$1,473,338","$9,132","$1,269,401","$9,990.96","$1,378,752","$11,650.63","$1,526,232","$11,610.79","$1,590,678"
"SUPERVISING PROBATION OFFICER","$940.75","$126,060","$945.07","$122,860","$999.25","$120,910","$2,009","$253,179","$2,792.23","$362,990","$4,977.07","$691,813","$4,866.61","$656,992"
"SUPERVISING PUBLIC HEALTH ADVISER","$1,221.34","$73,280","$1,599.10","$95,946","$913.41","$55,718","$878","$59,722","$833.54","$54,180","$942.52","$65,034","$2,839.68","$204,457"
"SUPERVISING RACKETS INVESTIGATOR","$10,775.88","$150,862",NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA,NA,NA
"SUPERVISING SPECIAL OFFICER","$7,641.10","$1,237,858","$7,329.99","$1,180,128","$9,965.59","$2,032,980","$10,491","$2,014,203","$12,152.14","$2,260,298","$12,324.45","$2,452,565","$14,062.99","$2,714,157"
"SUPERVISING THERAPIST","$153.79","$3,537","$24.23","$557","$83.97","$2,015","$77","$2,300","$332.10","$9,631","$1,657.83","$49,735","$3,404.99","$95,340"
"SUPERVISOR","$20,194.97","$22,093,297","$21,867.09","$25,956,234","$17,450.88","$21,831,049","$19,363","$24,397,942","$21,497.39","$27,151,202","$21,192.16","$27,528,609","$25,163.85","$30,901,204"
"SUPERVISOR ASSIGNED","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"SUPERVISOR I","$1,298.59","$527,229","$1,356.43","$495,096","$1,226.11","$416,879","$1,954","$640,927","$2,642.24","$827,021","$2,771.36","$848,036","$2,171.83","$671,095"
"SUPERVISOR I SOCIAL WORK","$944.78","$31,178","$1,297.72","$37,634","$1,409.90","$45,117","$1,860","$61,377","$1,069.95","$41,728","$1,720.07","$63,643","$1,452.64","$33,411"
"SUPERVISOR II","$2,892.42","$477,249","$3,023.78","$526,137","$2,065.69","$353,233","$3,497","$573,482","$3,500.25","$574,041","$3,402.82","$517,229","$2,962.63","$399,954"
"SUPERVISOR II SOCIAL WORK","$585.34","$13,463","$1,567.00","$50,144","$2,763.18","$96,711","$2,617","$99,448","$2,467.89","$108,587","$1,224.09","$48,964","$1,692.77","$54,169"
"SUPERVISOR III","$1,479.65","$88,779","$1,914.88","$116,808","$1,351.98","$79,767","$1,892","$113,498","$5,053.09","$202,123","$3,935.17","$181,018","$1,996.34","$83,846"
"SUPERVISOR III SOCIAL WORK","$1,420.59","$17,047","$2,409.25","$24,092","$1,793.83","$17,938","$2,854","$34,246","$275.28","$2,477","$553.61","$12,179","$3.72","$52"
"SUPERVISOR OF BRIDGE OPERATIONS","$29,398.28","$529,169","$25,356.47","$507,129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUPERVISOR OF CHILD CARE","$13,339.15","$106,713","$16,651.53","$116,561","$21,401.80","$128,411","$15,570","$93,423","$19,682.11","$118,093","$17,998.67","$107,992","$23,867.60","$119,338"
"SUPERVISOR OF ELECTRICAL INSTALLATIONS & MAINTENANCE","$6,681.39","$400,883","$9,840.76","$501,879","$11,332.78","$577,972","$10,670","$576,176","$8,696.10","$460,894","$14,400.14","$720,007","$14,884.80","$729,355"
"SUPERVISOR OF ELEVATOR MAINTENANCE","$72.84","$146","$0.00","$0","$0.00","$0","$4,288","$17,150","$411.88","$824","$0.00","$0","$22,581.08","$22,581"
"SUPERVISOR OF HOUSING CARETAKER","$18,231.82","$3,208,800",NA,NA,NA,NA,"$17,254","$2,777,930","$17,456.57","$2,880,335","$16,578.16","$2,337,521","$17,573.80","$2,759,087"
"SUPERVISOR OF HOUSING STOCK WORKERS","$4,245.52","$93,401","$4,637.58","$97,389","$5,100.28","$96,905","$2,454","$41,719","$1,580.53","$23,708","$198.23","$2,775","$9,533.64","$123,937"
"SUPERVISOR OF INVESTIGATORS","$6,102.71","$54,924","$7,889.74","$55,228","$4,211.91","$12,636","$1,072","$3,216","$0.00","$0","$8,627.08","$69,017","$5,039.49","$65,513"
"SUPERVISOR OF IRONWORK","$11,261.78","$22,524","$28,305.76","$56,612","$19,663.56","$39,327","$16,231","$16,231","$42,364.41","$42,364","$21,892.01","$21,892","$5,154.70","$5,155"
"SUPERVISOR OF MECHANICAL INSTALLATIONS & MAINTENANCE","$4,150.40","$211,670","$3,905.93","$164,049","$5,548.91","$244,152","$5,110","$245,289","$5,567.68","$278,384","$6,004.30","$312,224","$4,584.14","$210,870"
"SUPERVISOR OF MECHANICS","$24,825.77","$4,220,382","$24,441.91","$4,106,240","$23,933.61","$3,949,046","$27,971","$5,006,723","$27,388.68","$4,847,796","$25,609.22","$4,609,660","$26,507.68","$4,665,352"
"SUPERVISOR OF MOTOR TRANSPORT","$4,625.15","$32,376","$12,960.22","$116,642","$18,838.95","$207,228","$17,406","$191,461","$20,827.22","$208,272","$18,663.94","$186,639","$29,521.46","$324,736"
"SUPERVISOR OF NURSES","$147.50","$3,245","$193.20","$4,444","$634.10","$17,121","$1,162","$32,531","$861.55","$25,847","$1,803.16","$52,292","$2,526.29","$75,789"
"SUPERVISOR OF OFFICE MACHINE OPERATIONS","$2,706.01","$124,477","$2,660.65","$106,426","$3,113.11","$124,524","$3,643","$138,446","$3,189.86","$114,835","$4,410.48","$145,546","$7,006.79","$245,238"
"SUPERVISOR OF RADIO AND TELEVISION OPERATORS","$6,831.49","$34,157","$4,949.10","$39,593","$4,956.40","$39,651","$6,360","$44,520","$5,848.24","$40,938","$5,366.89","$37,568","$5,700.48","$39,903"
"SUPERVISOR OF RADIO REPAIR OPERATIONS","$10,600.72","$31,802","$27,136.28","$54,273","$22,257.76","$22,258",NA,NA,NA,NA,NA,NA,NA,NA
"SUPERVISOR OF SCHOOL SECURITY","$13,183.07","$1,278,758","$14,607.26","$1,460,726","$15,243.28","$1,524,328","$16,663","$1,632,960","$14,629.51","$1,404,433","$14,591.47","$1,517,513","$14,078.02","$1,365,568"
"SUPERVISOR OF STOCK WORKERS","$8,560.81","$924,567","$7,758.75","$830,186","$7,575.31","$818,133","$7,733","$757,800","$7,965.92","$828,456","$6,701.34","$757,252","$7,562.72","$877,276"
"SUPERVISOR OF TRAFFIC DEVICE MAINTAINERS","$21,598.81","$950,348","$20,484.21","$860,337","$19,244.71","$1,116,193","$19,430","$1,282,351","$14,657.66","$644,937","$17,536.09","$806,660","$17,833.62","$374,506"
"SUPERVISOR OF TRAFFIC DEVICE MAINTAINERS L2 & L3","$28,756.38","$230,051","$32,242.84","$290,186",NA,NA,NA,NA,"$23,671.10","$497,093","$25,055.57","$576,278",NA,NA
"SUPERVISOR OF TRAFFIC DEVICE MAINTAINERS LEVEL 1 ONLY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$14,734.60","$618,853"
"SUPV OF HOUSING EXTERMINATOR","$14,135.98","$98,952","$2,061.03","$14,427","$5,603.02","$28,015",NA,NA,NA,NA,NA,NA,NA,NA
"SUPV OF HOUSING EXTERMINATORS","$6,748.49","$6,748","$5,082.15","$5,082","$13,141.15","$13,141","$6,033","$6,033",NA,NA,NA,NA,NA,NA
"SUPVSNG SYSTEMS ANALYST",NA,NA,"$0.00","$0",NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"SURGEON","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SURGEON DETAILED AS DEPUTY CHIEF SURGEON",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0",NA,NA
"SURVEYOR","$509.86","$20,395","$1,189.63","$47,585","$1,157.76","$42,837","$1,695","$69,490","$1,688.45","$74,292","$1,944.53","$93,338","$1,654.78","$82,739"
"SYSTEMS ADMINISTRATOR-CAM FIN BD","$1,657.16","$9,943","$786.05","$4,716","$707.67","$4,954","$731","$5,847","$1,425.01","$18,525","$1,517.74","$24,284","$5,719.80","$114,396"
"SYSTEMS ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"TAX MAP CARTOGRAPHER","$249.30","$997","$8.54","$26","$1,117.83","$3,353","$0","$0","$1,441.75","$2,884","$1,347.94","$2,696","$3,711.74","$7,423"
"TAXI AND LIMOUSINE INSPECTOR","$2,965.03","$376,559","$2,498.60","$329,815","$2,364.88","$248,313","$3,053","$341,940","$3,711.95","$478,841","$3,975.05","$572,408","$2,997.88","$464,671"
"TEACH ASST VOCATION - REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER-REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER AIDE","$102.83","$5,862","$154.97","$9,608","$48.33","$4,930","$78","$8,877","$93.72","$11,621","$137.32","$18,127","$0.00","$0"
"TEACHER ASSIGNED A","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER ASSIGNED B",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER ASSISTANT - REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER ATTENDANCE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER ATTENDANCE-REG SUB","$0.00","$0","$0.00","$0",NA,NA,NA,NA,"$0.00","$0",NA,NA,NA,NA
"TEACHER OF LIBRARY","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER RESOURCE ROOM","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER SPECIAL EDUCATION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER SPECIAL EDUCATION-REG SUB","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TEACHER TRAINER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"TELECOMMUNICATION MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$5,147.24","$92,650"
"TELECOMMUNICATIONS ASSOCIATE","$4,318.57","$492,317","$4,502.65","$531,313","$5,912.52","$679,940","$5,042","$574,815","$4,423.37","$490,995","$4,579.94","$599,973","$5,182.30","$725,523"
"TELECOMMUNICATIONS MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$251.89","$1,511"
"TELEPHONE SERVICE TECHNICIAN","$10,136.48","$91,228","$16,210.45","$129,684","$15,313.05","$107,191","$6,515","$52,119","$5,861.97","$41,034","$12,145.09","$85,016","$8,716.54","$61,016"
"TELEVISON EQUIPMENT OPERATOR","$4,097.09","$4,097","$6,182.61","$6,183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEMPORARY CLERK",NA,NA,NA,NA,"$7,353.84","$176,492","$9,383","$75,066","$5,295.24","$31,771","$8,883.51","$53,301","$3,565.88","$17,829"
"TESTS AND MEASUREMENT SPECIALIST","$6,385.87","$185,190","$7,268.44","$181,711","$5,770.93","$161,586","$8,471","$194,841","$2,605.69","$65,142","$451.07","$11,728","$755.30","$17,372"
"THERMOSTAT REPAIRER",NA,NA,NA,NA,NA,NA,NA,NA,"$8,963.39","$8,963",NA,NA,NA,NA
"THIRD ASSISTANT MARINE ENGINEER","$26,302.22","$157,813","$17,802.63","$106,816","$28,803.59","$144,018",NA,NA,NA,NA,NA,NA,NA,NA
"TITLE EXAMINER","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"TRAFFIC CONTROL INSPECTOR","$4,802.11","$235,303","$7,179.52","$387,694","$7,395.33","$458,510","$7,133","$577,783","$8,866.05","$682,686","$8,920.74","$624,452","$8,112.46","$559,760"
"TRAFFIC DEVICE MAINTAINER","$12,887.24","$2,628,997","$12,103.93","$2,336,059","$10,520.18","$1,777,911","$9,597","$1,775,362","$8,773.76","$1,675,788","$11,114.41","$1,678,275","$8,061.28","$1,491,337"
"TRAFFIC ENFORC AGENT","$14,076.17","$3,420,508","$14,575.31","$3,381,471","$17,790.74","$4,234,195","$17,534","$4,032,796",NA,NA,NA,NA,NA,NA
"TRAFFIC ENFORC AGENT-L 3 & 4 ONLY",NA,NA,NA,NA,NA,NA,NA,NA,"$17,643.30","$4,093,246","$14,090.99","$3,114,109",NA,NA
